City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
370,lata,40.1629,-8.3327,24.95,54,0,0.63,PT,1721777182
371,bulawayo,-20.15,28.5833,14.42,29,0,2.66,ZW,1721777182
372,lospalos,-8.5186,127.0025,21.4,92,96,2.95,TL,1721777183
373,al kharijah,25.4514,30.5464,32.37,19,37,4.44,EG,1721777183
374,sheopur,25.6667,76.7,27.97,84,99,3.54,IN,1721777184
375,araxa,-19.5933,-46.9406,18.98,45,0,4.63,BR,1721777101
376,coquimbo,-29.9533,-71.3436,13.85,52,0,2.57,CL,1721777185
377,sitangkai,4.6628,119.3928,28.97,79,100,4.63,PH,1721777186
378,myitkyina,25.3833,97.4,23.64,100,100,0.57,MM,1721777186
379,crotone,39.0851,17.1178,26.77,55,0,0.86,IT,1721777187
380,baise city,23.8997,106.6133,25.07,95,73,0.95,CN,1721777187
381,new norfolk,-42.7826,147.0587,11.72,62,64,2.03,AU,1721777188
382,carutapera,-1.195,-46.02,25.99,79,74,3.26,BR,1721777188
383,nelson bay,-32.7167,152.15,12.84,80,0,0.89,AU,1721777189
384,tommot,58.9564,126.2925,21.19,71,17,1.44,RU,1721777189
385,kidal,18.4411,1.4078,32.5,43,60,4.66,ML,1721777190
386,al ghayzah,16.2079,52.176,26.29,85,99,3.5,YE,1721777191
387,lebu,-37.6167,-73.65,10.87,92,100,4.27,CL,1721777191
388,mantua,45.1667,10.7833,25.19,82,80,1.34,IT,1721777192
389,sydney mines,46.2367,-60.2177,20.75,87,75,2.57,CA,1721777192
390,domoni,-12.2569,44.5319,23.33,80,38,2.56,KM,1721777193
391,tan-tan,28.438,-11.1032,21.28,85,11,4.42,MA,1721777193
392,fougamou,-1.2154,10.5838,22.51,82,83,0.95,GA,1721777194
393,ulsteinvik,62.3432,5.8487,12.4,87,59,0.45,NO,1721777194
394,naze,28.3667,129.4833,28.51,80,90,6.31,JP,1721777195
395,karsun,54.1994,46.9827,14.75,76,95,1.89,RU,1721777196
396,peshawar,34.008,71.5785,28.08,78,40,4.12,PK,1721777196
397,caetite,-14.0694,-42.475,17.45,54,2,2.12,BR,1721777195
398,san antonio de pale,-1.4014,5.6325,22.94,85,59,4.01,GQ,1721777197
399,talcahuano,-36.7167,-73.1167,11.82,82,100,1.54,CL,1721777198
400,el granada,37.5027,-122.4694,36.05,51,20,9.26,US,1721777198
401,mata-utu,-13.2816,-176.1745,27.0,71,80,10.96,WF,1721777199
402,rongelap,11.1635,166.8941,28.16,73,26,6.83,MH,1721777199
403,mingshui,36.7167,117.5,28.08,91,100,3.17,CN,1721777200
404,bodo,67.28,14.405,13.21,98,100,4.63,NO,1721777201
405,peniche,39.3558,-9.3811,20.16,93,0,4.1,PT,1721777201
406,datong,40.0936,113.2914,25.91,56,92,1.59,CN,1721777202
407,kralendijk,12.15,-68.2667,28.99,79,20,9.77,BQ,1721777202
408,tamanrasset,22.785,5.5228,30.95,19,40,1.03,DZ,1721777203
409,mundri,-6.9558,111.71,22.42,82,91,2.3,ID,1721777203
410,kuala terengganu,5.3302,103.1408,26.97,100,20,1.54,MY,1721777204
411,taguatinga,-12.3857,-46.5711,25.07,29,2,2.09,BR,1721777204
412,rio grande,-32.035,-52.0986,15.53,89,88,3.73,BR,1721777088
413,imperatriz,-5.5264,-47.4917,28.07,37,23,1.81,BR,1721777206
414,fort bragg,35.139,-79.006,30.08,72,75,4.63,US,1721777206
415,bamboo flat,11.7,92.7167,28.05,89,75,4.12,IN,1721777207
416,breves,-1.6822,-50.4803,27.76,65,91,1.95,BR,1721777207
417,arac,41.2422,33.3277,17.26,87,0,0.69,TR,1721777208
418,puerto gaitan,4.3133,-72.0816,25.92,75,73,2.99,CO,1721777208
419,huilong,31.8111,121.655,27.38,90,73,7.09,CN,1721777106
420,fort st. john,56.2499,-120.8529,17.94,45,75,11.83,CA,1721777209
421,la'ie,21.6477,-157.9253,30.0,73,35,2.68,US,1721777210
422,takoradi,4.8845,-1.7554,23.56,88,76,4.07,GH,1721777210
423,dubovka,49.0583,44.829,19.53,92,100,1.77,RU,1721777211
424,fale old settlement,-9.3852,-171.2468,27.78,80,92,8.34,TK,1721777173
425,mejit,10.2753,170.8646,28.33,72,83,5.02,MH,1721777212
426,codrington,-38.2667,141.9667,11.31,55,100,8.63,AU,1721777213
427,ebaye,8.7748,167.7392,30.01,74,0,4.12,MH,1721777213
428,usogorsk,63.4106,48.6872,11.23,90,2,1.65,RU,1721777214
429,santana,-0.0583,-51.1817,27.1,83,40,4.12,BR,1721777214
430,caucete,-31.6518,-68.2811,15.91,35,20,4.58,AR,1721776998
431,ancud,-41.8697,-73.8203,9.66,87,85,6.57,CL,1721777215
432,bee cave,30.3085,-97.945,26.9,85,100,2.24,US,1721777216
433,bhawanipatna,19.9,83.1667,23.85,96,100,2.46,IN,1721777217
434,challapata,-18.9,-66.7667,9.66,32,6,1.62,BO,1721777217
435,port saint john's,-31.6229,29.5448,16.32,41,2,2.38,ZA,1721777218
436,rioja,-29.4111,-66.8507,14.01,55,0,2.53,AR,1721776988
437,ulladulla,-35.35,150.4667,12.93,57,100,3.43,AU,1721777219
438,labrador city,52.9463,-66.9114,16.77,52,40,2.57,CA,1721777220
439,hobyo,5.3505,48.5268,24.28,86,39,12.31,SO,1721777220
440,selfoss,63.9331,-20.9971,11.14,98,100,6.84,IS,1721777221
441,saynshand,44.8824,110.1163,21.07,63,100,7.73,MN,1721777221
442,debila,33.5167,6.95,31.04,33,0,1.54,DZ,1721777222
443,tougan,13.0667,-3.0667,26.49,76,95,4.62,BF,1721777222
444,hammerfest,70.6634,23.6821,23.25,56,0,2.06,NO,1721777223
